No.,Question,Explanations,Answer
184,"Question: Which of the following best classifies the types of data according to their categories and characteristics?
A) Temperature readings and color preference are both examples of nominal data because they can be categorized without a natural order.
B) Counting the number of students in a class represents discrete data, while measuring their average height represents continuous data.
C) Gender is an example of ordinal data because it can be naturally ranked or ordered.
D) The frequency of an activity, such as how often someone exercises, falls under continuous data because it is measurable and has infinite possibilities.","Correct Answer: B) Counting the number of students in a class represents discrete data while measuring their average height represents continuous data.

Option A: Temperature readings are continuous data because the temperature can vary in a continuous range and can be measured precisely. Colour preference, while it is nominal data because it categorizes colours without a natural order, cannot be paired with temperature readings as they are different types of data.
Option C: Gender is an example of nominal data, not ordinal data. Nominal data includes categories without a natural order or ranking, and gender categories typically do not have a rank order associated with them.
Option D: The frequency of an activity is not continuous data but rather ordinal data if the frequency is expressed in categories such as ""Never, Rarely, Sometimes, Usually, Always."" If the frequency were measured in exact counts or measurements (e.g., number of times exercised per week), it could be considered discrete data. However it does not represent continuous data since frequency categories do not have an infinite range of values.",B
185,"To develop a stress detection model at home, some data were collected. Among the collected data, temperature is (a)____ data, income level (Low, Middle, Upper) is (b)_____ data, gender is (c)____ data, and the number of siblings is (d)____ data.

Which of the following is correct for (a), (b), (c), and (d)?

1. discrete, continuous, nominal, ordinal
2. nominal, discrete, ordinal, continuous
3. ordinal, nominal, discrete, continuous
4. continuous, nominal, ordinal, discrete
5. continuous, ordinal, nominal, discrete","To solve this quiz, we need to understand the types of data. Temperature is continuous data because we can measure it. Income level is ordinal data since we can order it from low to high (Low < Middle < Upper). Gender is nominal data because it represents categories without inherent order or rank. The number of siblings is discrete data because we can count it as distinct, separate values. Therefore, the correct answer is option 5.",5
186,"Select one option which correctly set the hierarchy within the types of data. Here, A: {B,C} implies that A incldues B and C.

A) Numerical data: {Continuous data, Nominal data} and Quantitative data: {Discrete data, Ordinal data}
B) Qualitative data: {Categorical data, Discrete data} and Continuous data: {Numerical data, Ordinal data}
C) Quantitative data: {Continuous data, Discrete data} and Categorical data: {Nominal data, Ordinal data}
D) Nomial data: {Ordinal data, Qualtitative data} and Numerical data: {Continuous data, Quantitative data}","Numeical data which is equivalent to Quantitative data includes Continuous data (which you can measure continuously) and Discrete data (which you can count). Also, Categorical data which is equivalent to Qualitative data includes Nomial data (which you can brand) and Ordinal data (which you can rank). Hence, the correct answer is C.",C
187,"
Question: What is the primary purpose of using dummy coding, such as OneHotEncoding, when dealing with nominal values in data preprocessing for machine learning models?

A) To transform nominal values into a format that can be directly used in regression models, allowing the model to interpret each unique nominal value as a separate feature.
B) To increase the dimensionality of the dataset exponentially, thereby enhancing the computational complexity of model training.
C) To normalize the distribution of nominal variables so that they have a mean of 0 and a standard deviation of 1.
D) To reduce the importance of nominal variables in the dataset by converting them into binary variables that are less informative than the original values.","Explanation: Dummy coding, or OneHotEncoding, is a technique used to convert nominal (categorical) variables into a binary matrix representation. This process involves creating a new binary (dummy) variable for each level of the categorical variable. In the context of machine learning, this is particularly useful because it allows models to treat each category as a separate entity or feature. This transformation is crucial for models that can only interpret numerical input, such as linear regression, where the presence or absence of a category is indicated by 1 or 0, respectively. Thus, dummy coding enables the inclusion of nominal values as distinct features in the model, facilitating the analysis of data that includes categorical variables.",A
188,"What is the one wrong example of feature extraction from the frequency domain of sensory data?
1) Get Highest amplitude frequency 
2) Frequency-weighted signal average
3) Power spectrum entropy 
4) Counting the number of data points in the frequency domain","Getting the highest amplitude frequency involves identifying the frequency component with the maximum amplitude in the frequency domain, which is a common approach in signal processing to find the dominant frequency.

Frequency-weighted signal average is a method where each frequency component is weighted by its amplitude before calculating the average, providing a feature that gives more importance to frequencies with higher amplitudes.

Power spectrum entropy involves calculating the entropy of the power spectrum, which is a measure of the distribution of power among different frequency components and can provide insights into the complexity or predictability of the signal.

However, 4) Counting the number of data points in the frequency domain is not a meaningful feature extraction method from the frequency domain. The number of data points is simply a function of the length of the time-domain signal and the parameters of the Fourier transform, and it does not provide insightful information about the characteristics of the signal in the frequency domain.",4
189,"Which of the following statements best describes a limitation of using DBSCAN for clustering GPS coordinates in mobility data processing?

A) DBSCAN clusters GPS coordinates based on temporal characteristics, which may lead to long traces instead of distinct visiting/staying points.
B) DBSCAN does not require defining a distance metric, which can result in inaccurate clustering of GPS coordinates.
C) DBSCAN ignores spatial characteristics, leading to clusters forming only in buildings rather than streets.
D) DBSCAN does not consider temporal characteristics, resulting in clusters resembling long traces instead of distinct visiting/staying points.","Answer: D) DBSCAN does not consider temporal characteristics, resulting in clusters resembling long traces instead of distinct visiting/staying points.

Explanation: The limitation described in the context is that DBSCAN ignores temporal characteristics, leading to clusters that resemble long traces rather than representing distinct visiting or staying points. This can affect the accuracy of identifying semantically meaningful places in mobility data processing.",D
190,"Which approach is suggested for approximately calculating the duration of a particular state within a time window, considering the complexity of accounting for various temporal overlap cases?
A) Analyzing all four cases of temporal overlap (inner, outer, left-overlap, right-overlap) within the time window to determine the exact duration.
B) Re-sampling the label state data at a small time interval and utilizing forward-filling to approximate the duration.
C) Estimating the duration by averaging the start and finish times of the state within the time window.
D) Applying a sliding window technique to capture the state transitions and calculate the exact duration within each window.","Answer: B) Re-sampling the label state data at a small time interval and utilizing forward-filling to approximate the duration.
Explanation: The suggested approach involves re-sampling the label state data at a small time interval and using forward-filling to approximate the duration, which simplifies the calculation process. This method provides an approximate duration by multiplying the number of items by the unit time, offering a less cumbersome alternative to considering all cases of temporal overlap.",B
191,"Question: Which of the following reasons best explains why density-based clustering algorithms, such as DBSCAN, might not perform well in certain situations?

A) They require a fixed number of clusters to be specified in advance.
B) They perform exceptionally well in identifying clusters of non-uniform shapes and sizes, making them too flexible for most practical applications.
C) They cannot effectively handle noise and outliers in the dataset, leading to many points being misclassified.
D) They struggle with datasets where clusters have significantly varying densities, as the algorithm uses a global set of parameters (epsilon and minPts) that may not be suitable for all density variations.","Explanation: Density-based clustering algorithms, like DBSCAN, define clusters based on areas of high density separated by areas of low density. While they are advantageous for their ability to find clusters of arbitrary shapes and for their robustness to outliers, they can struggle in datasets where clusters have significantly varying densities. This is because the algorithm uses a single set of parameters (epsilon and minPts) to determine the neighborhood size and the minimum number of points required to form a dense region, respectively. These parameters are global and may not fit well with all clusters if their density varies widely across the dataset, leading to potential issues in accurately identifying all clusters.",D
192,"In the context of a confusion matrix, what does the metric 'Accuracy' fail to reflect effectively in cases of class imbalance?
A) The model's performance in identifying positive cases.
B) The model's performance in identifying negative cases.
C) The balance between the model's sensitivity and specificity.
D) The distribution of the actual classes in the dataset.","Correct Answer: D
Explanation: Accuracy ((tp + tn) / (tp + tn + fp + fn)) measures the proportion of true results among the total number of cases examined. However, in situations where there is a significant class imbalance, accuracy can be misleading. This is because it may reflect the dominance of the larger class in the dataset rather than the model's ability to correctly classify instances of the less represented class.",D
193,"How are nominal values typically handled in machine learning algorithms?
1. They are ignored, as machine learning algorithms only work with numerical data.
2. They are converted into ordinal values to facilitate feature selection.
3. They are encoded using dummy variables to represent categorical information.
4. They are transformed into continuous variables for easier mathematical manipulation.","Numeric values can be readily used for machine
learning, but “nominal” values cannot be used
directly. Dummy variable is a variable that can assume
either one of two values (usually 1 and 0),
where 1 represents the existence of a certain
condition and 0 indicates that the condition
does not hold. By this methods, nominal values can be used in machine learning algorithms. Therefore, the correct answer is 3 ",3
194,"How can you make your model less overfit to the training data?
1. Decrease the amount of training data to reduce model complexity.
2. Increase the number of hidden layers in the neural network architecture.
3. Apply regularization to selecting only useful features.
4. Decrease the learning rate to slow down the training process.","Options 1 and 2. are incorrect because reducing the amount of training data or increasing the model complexity typically exacerbates overfitting rather than reducing it.
Option 4 is incorrect because decreasing the learning rate may slow down the training process but does not directly address overfitting.
Regularization try to eliminate factors that do not impact the prediction outcomes by grading features based on importance. For example, mathematical calculations apply a penalty value to features with minimal impact. Therefore, option 3 is correct answer.",3
195,"What is the most suitable distance metric to use for a dataset consisting of GPS coordinates?
A. Euclidean Distance
B. Manhattan Distance
C. Haversine Distance
D. Cosine Similarity","The Haversine Distance is the most appropriate for measuring distances between points on the Earth's surface, represented by GPS coordinates (latitude and longitude). It accounts for the spherical shape of the Earth and provides the shortest distance between two points on the globe. Euclidean and Manhattan distances are more suited for flat Cartesian coordinates, and Cosine Similarity is typically used for measuring similarity in orientations or in text data, not for physical distances on a sphere.",C
196,"In adapting k-fold cross-validation for time-series datasets, how should the dataset be partitioned and the validation folds be selected to accurately reflect temporal dependencies?

A. Shuffle the data and select random folds for validation to ensure randomness in data selection.
B. Partition the dataset into k consecutive folds without shuffling and select initial folds for validation, disregarding the time order.
C. Partition the dataset into k consecutive folds according to time order and select folds with later timestamps for validation.
D. Use stratified sampling for creating folds, ensuring a uniform distribution of the output variable across all folds, irrespective of the time order.

","For time-series data, it's essential to respect the sequential nature and temporal dependencies within the data. Therefore, the dataset should be divided into k consecutive folds following the time order. Importantly, the folds selected for validation should have later timestamps than those used for training, ensuring that the validation process mimics the real-world scenario where predictions are made for future events, based on past data.",C
197,"Question: In machine learning, what comprehensive strategy effectively addresses imbalanced datasets to improve model performance across classes? (select one)
A) Increasing training data volume without specific focus on class distribution.
B) Integrating data-level adjustments, algorithmic enhancements, and tailored evaluation metrics, such as rebalancing techniques, cost-sensitive learning, and precision-recall analysis.
C) Limiting the model to linear algorithms to simplify the decision boundary in imbalanced scenarios.
D) Applying standard normalization techniques to all features as a primary strategy for imbalance correction.
","Addressing imbalanced datasets effectively necessitates a holistic strategy encompassing data preparation, algorithm optimization, and appropriate evaluation methods. This includes rebalancing the dataset through techniques like oversampling or undersampling, incorporating algorithmic modifications such as cost-sensitive learning to weigh classes differently, and employing evaluation metrics like AUC-ROC or precision-recall curves that provide a nuanced understanding of model performance across different classes. Such a comprehensive approach ensures that the model is robust, fair, and performs well across both majority and minority classes.",B
198,"Which of the following descriptions is incorrect?
a. When converting nominal data with k classes into dummy variables, the minimum degrees of freedom is 2k.
b. Numerical values can be converted into categorical data for feature extraction.
c. GPS coordinates in mobility data can be used for feature extraction through various clustering techniques.
d. The DBSCAN algorithm is an example of density-based clustering.
","a. When converting nominal data with k levels into dummy variables, one level is used as the reference category, allowing for k - 1 degrees of freedom.
b. Numerical values can also be categorized. For example, we can categorize a temperature as low, medium, and high.
c. Clustering of GPS coordinate data involves identifying clusters using various methods based on defined distance metrics, which can be used for feature extraction.
d. The DBSCAN algorithm is a density-based clustering technique that considers epsilon and min_points.",A
199,"To reduce overfitting, which of the following is incorrect?
a. Early stopping: Stopping training before the model learns too much from the training data.
b. Pruning in decision tree: Reducing the complexity of the model.
c. Repeated reuse of the same training data.
d. Regularization: Selecting only useful features.

","a. Stopping training before the model learns too much from the training data is an effective method to prevent overfitting.
b. Pruning in decision trees is a technique used to reduce the complexity of the model by reducing the depth of the tree or removing unnecessary branches, thereby improving the model's generalization performance.
c. Using the same data repeatedly for training can lead to overfitting. In such cases, the model may perform well on the training data but struggle to generalize to new data.
d. Regularization is a technique to simplify the model by selecting only useful features, thereby preventing overfitting.",C
200,"Question: Choose the correct word to fill in the blanks.
When class information is used for selection, feature selection is a part of ___ methods. 
Dimension reduction techniques like PCA and Auto-encoders are categorized under ___ methods. 
Dropouts and early stopping in neural networks are examples of ___ methods.

A. supervised - unsupervised - regularization
B. unsupervised - unsupervised - regularization
C. unsupervised - supervised - dimension reduction
D. supervised - unsupervised - dimension reduction","The correct answer is A. supervised - unsupervised - regularization. This is because feature selection often involves supervised methods where the relevance of features is determined based on their relationship with the output variable. Dimension reduction techniques like PCA (Principal Component Analysis) and auto-encoders are typically unsupervised, as they reduce data dimensions without relying on output labels. Finally, techniques like dropouts and early stopping are regularization methods used to prevent neural networks from overfitting to the training data.",A
201,"Question: Select the option where the term and its description are correctly matched 
A. Early stopping: by reducing the complexity of the classifiers to avoid learning from noisy data (e.g., pruning)
B. Network reduction: by selecting only useful (generalizable) features
C. Expansion of the training data: by stopping training before it’s optimized too much to the training data
D. Feature selection and regularization: by increasing training dataset size, including data augmentation (e.g., random noise addition)
E. K-fold cross-validation: The data is divided randomly into K parts, and each part is held out in turn and the learning scheme trained on the remaining K-1 parts","The correct answer is E: K-fold cross-validation. This technique involves dividing the data randomly into k segments. In each round of cross-validation, one segment is reserved for testing the model, while the remaining k-1 segments are used for training. This process is repeated k times, with each segment serving as the test set once. This method is highly effective for assessing the model's performance and its ability to generalize to unseen data. It ensures that every data point is used for both training and testing, providing a comprehensive evaluation of the model's performance.",E
202,"Which of the following statements is correct about dummy coding for handling categorical data in feature engineering?

A. Dummy coding allows for k degrees of freedom, where k is the number of categories.
B. Dummy coding uses k features in the representation, where k is the number of categories.
C. Dummy coding removes the extra degree of freedom by using only k-1 features in the representation, where k is the number of categories.
D. Dummy coding is the same as one-hot encoding and uses k features for k categories.","Dummy coding removes the extra degree of freedom by using only k–1 features in the representation. This is in contrast to one-hot encoding, which allows for k degrees of freedom, where k is the number of categories.",C
203,"What is the correct way to perform cross-validation when feature selection is involved?

A. Perform feature selection on the entire dataset, then apply cross-validation.
B. Within each cross-validation fold, perform feature selection using only the training data for that fold, excluding the test data.
C. Perform feature selection on the test data of each cross-validation fold.
D. Perform feature selection on the training data of one fold and apply it to all other folds.","The correct approach is to perform feature selection within each cross-validation fold, using only the training data for that fold and excluding the test data. This ensures that the test data remains unseen during the feature selection step, correctly mimicking the application of the classifier to an independent test set. Choice A involves performing feature selection on the entire dataset, including the test data, which violates the principle of cross-validation. Choices C and D are incorrect because feature selection should not be performed on the test data or using data from other folds.",B
204,"When processing mobility data, such as GPS coordinates from a smartphone, which method is identified as an effective approach for generating meaningful features for machine learning models?

A) Calculating the straight-line distance between each pair of consecutive GPS coordinates to determine speed.
B) Using the latitude and longitude as direct inputs to the model without any preprocessing.
C) Clustering GPS coordinates to identify semantically meaningful places, such as home or work, using algorithms like DBSCAN.
D) Applying a Fourier transform to the time series of GPS coordinates to extract frequency-based features.","The lecture highlights the importance of identifying semantically meaningful places from GPS data for feature generation in mobility data processing. This is achieved by clustering GPS coordinates, which helps in discovering frequently visited or stayed locations. The use of a clustering algorithm, such as DBSCAN, is specifically mentioned as an approach to handle this task. Clustering allows for the transformation of raw GPS coordinates into meaningful categorical data, such as the identification of places like ""home"" or ""work,"" which can significantly enhance the interpretability and effectiveness of machine learning models. This approach goes beyond simply using raw coordinates or attempting to directly calculate features such as speed or distance traveled, instead providing a layer of semantic understanding to the mobility patterns of individuals.",C
205,"Why is stratified K-fold cross-validation preferred over standard K-fold for uneven class distributions?

A) It reduces computation by needing fewer folds.
B) It keeps the class proportions consistent across folds, matching the overall dataset.
C) It focuses only on the minority class to estimate model sensitivity better.
D) It boosts model accuracy by balancing classes during evaluation.","Stratified K-fold cross-validation is chosen for datasets with uneven class distributions because it ensures each fold has the same class ratio as the entire dataset, preserving class balance across all folds. This approach provides a more accurate performance assessment by avoiding bias that might occur if some folds had significantly different class proportions than others.",B
206,"How to dummy code a record with the category ""Standing"" given the four categories ""On Table"", ""Washing Hands"", ""Standing"", ""Driving"", assuming that the first category is dropped?

a) (0, 0, 1, 0)
b) (0, 0, 0)
c) (0, 1, 0, 0)
d) (0, 1, 0)","Dummy coding uses k - 1 variables and usually treats the first category as the baseline (the intercept in a linear model). Therefore, the mapping is as follows:
On Table = (0, 0, 0) -> intercept
Washing Hands = (1, 0, 0)
Standing = (0, 1, 0)
Driving = (0, 0, 1)",d)
207,"What is the primary purpose of using stratified k-fold cross-validation?

a) To ensure that each fold has approximately the same proportion of different categories or classes.
b) To randomly partition the dataset into k equal-sized folds.
c) To minimize the computational complexity of the cross-validation process.
d) To validate the data without considering its distribution.","The correct answer is a) To ensure that each fold has approximately the same proportion of different categories or classes. Stratified k-fold cross-validation is specifically designed to address the issue of class imbalance in the dataset. By ensuring that each fold maintains a similar distribution of classes as the original dataset, this method provides more accurate and representative estimates of model performance, particularly in scenarios where certain classes are underrepresented. This approach is crucial for ensuring that the model is trained and evaluated on a balanced representation of the data, leading to more reliable generalization to unseen samples. Options b), c), and d) are incorrect because they do not capture the primary purpose of stratified k-fold cross-validation, which is to address class imbalances and ensure fair evaluation of the model across different classes or categories.",a)
208,"Which statements about dummy coding are true? (Select Two)
a) Dummy coding is a method used to represent categorical variables in numerical form, commonly employed in regression analysis for efficient inclusion of categorical variables.

b) Dummy coding assigns arbitrary numerical values to categorical variables, potentially introducing bias and inaccuracies in statistical analysis.

c) In dummy coding, binary variables known as dummy variables are created for each category within a categorical variable, preserving categorical information for regression modeling.

d) Dummy coding is primarily utilized for imputing missing values in datasets, ensuring data integrity and completeness.","Dummy coding is a method utilized in regression analysis to transform categorical variables into numerical form. It involves creating binary variables, known as dummy variables, for each category within the categorical variable. These dummy variables retain the categorical information while allowing for efficient inclusion in regression models. Thus, dummy coding enables the representation of categorical variables in regression analysis, facilitating the examination of their effects on the outcome variable.","a), c)"
209,"Which statements accurately describe overfitting in machine learning? (select TWO)

a) Overfitting arises when a model performs exceptionally well on the training dataset but fails to generalize effectively to new, unseen data, leading to poor performance in real-world scenarios due to an overly complex model.

b) Overfitting occurs when a model is too simplistic and cannot capture the complexity of the underlying patterns present in the data, resulting in underperformance across both training and testing datasets.

c) Overfitting is characterized by a model fitting the noise or random fluctuations in the training data rather than the true underlying relationship, causing it to make erroneous predictions when presented with new data.

d) Overfitting denotes a scenario where a model achieves consistent and equally high performance on both the training and testing datasets, demonstrating robustness and reliability in its predictions across different datasets and scenarios.","Overfitting occurs when a model becomes overly complex and captures noise or random fluctuations in the training data rather than the true underlying patterns. As a result, it performs very well on the training data but fails to generalize to new, unseen data. This discrepancy between the performance on the training dataset and the performance on new data is a hallmark of overfitting, indicating that the model has not learned meaningful relationships but rather has memorized the training data. Therefore, the answers are option a) and c).

","a), c)"
210,"In the context of machine learning model evaluation, why is it important to consider the class distribution of the dataset, and how can imbalanced datasets impact the performance metrics?

A) Imbalanced datasets can always lead to overfitting, making the model less generalizable to unseen data.
B) Imbalanced class distribution can bias performance metrics, leading to misleadingly high or low scores for certain classes.
C) Balanced datasets require less computational resources for model training and evaluation.
D) The class distribution does not affect model performance or the interpretation of performance metrics.","Imbalanced class distribution in a dataset can significantly bias the performance metrics of a machine learning model. For instance, in a dataset with a high imbalance ratio (where one class significantly outnumbers the other), conventional metrics such as accuracy can become misleading. A model might predict only the majority class and still achieve high accuracy, overlooking the minority class's predictive performance. This issue necessitates the use of techniques like SMOTE for rebalancing the dataset or alternative metrics such as AUC-ROC or AUC-PR that are less sensitive to class imbalance. These approaches help ensure a more accurate evaluation of the model's ability to generalize and perform across all classes, making them critical considerations in model evaluation processes.",B
211,"Which of the following statements about the feature selection process in machine learning models is NOT correct?

A) In filter methods, important features are selected based on the general characteristics of the training data.
B) Wrapper methods involve a process of selecting subsets of features and evaluating iteratively the performance of each model.
C) Correlation-based feature selection (CFS) selects important features solely based on the inter-correlation among features.
D) Information gain measures the mutual information between individual features and the class to assess the importance of features.","A) describes the filter method for feature selection. Filter methods use the general characteristics of the training data, independently of the learning algorithm, to evaluate the importance of features. B) describes the wrapper method for feature selection. It selects a subset of features and then iteratively tests the performance of each model. D) correctly explains the use of information gain for evaluating the importance of features. C) provides an incorrect description of Correlation-based Feature Selection (CFS). CFS considers not only the level of inter-correlation among them but also the usefulness of individual features for predicting the class. ",C
212,"Choose the data splitting method that is NOT appropriate for model evaluation.

A) Using 80% of the dataset for training and the remaining 20% for validation.
B) Randomly dividing the data into k parts and training the learning algorithm on the remaining parts after sequentially excluding each part.
C) Sequentially excluding each instance in the dataset and training the learning algorithm on the remaining instances.
D) Conducting random sampling with replacement across the entire dataset to create both the training and validation datasets, allowing duplicates in each sampling process.","A) describes Hold-out validation, a traditional method widely used to assess a model's generalization performance. B) refers to K-fold cross-validation, where the dataset is randomly divided into k parts. For each part, the model is trained on k-1 parts and validated on the remaining one. C) points to Leave-One-Out Cross-Validation, an extreme form of K-fold cross-validation where k equals the number of instances in the dataset. D) suggests Simple Random Sampling. If random sampling is performed while allowing duplicates, there might be data leakage between the training and validation datasets, potentially leading to biased model evaluation.",D
213,"Please select the wrong statement below(only one):
A. The difference between one-hot coding and dummy coding is dummy coding removes one feature compared to one-hot coding.
B. For mixed data in the time domain, We can make categories from the numerical values.
C. For GPS coordinates, we should use Euclidean distance instead of Haversine distance.
D. For the DBSCAN algorithm, epsilon is the radius of one point to its neighbor area, and MinPts is the least points(including itself) in one core point's neighbor area.","For GPS coordinates, we should use Haversine distance cause it takes into the Earth's tilt angle into consideration.
 ",C
214,"Which of the following statements regarding regularization/shrinkage is incorrect?
A) Regularization/shrinkage involves fitting a model involving all p predictors, but the estimated coefficients are shrunken toward zero.
B) The shrinkage effect, also known as regularization, helps reduce variance in the model.
C) Regularization methods always estimate all coefficients to be exactly zero for some predictors.
D) Shrinkage methods can also perform variable selection by setting some coefficients to zero.","A) Regularization/shrinkage involves fitting a model with all predictors, but the estimated coefficients are shrunken toward zero to prevent overfitting. 
B) The shrinkage effect helps reduce variance in the model, preventing the model from capturing noise in the data. 
D) Shrinkage methods, such as Lasso regularization, perform variable selection by setting some coefficients to zero. This effectively removes those predictors from the model, leading to a simpler and more interpretable model.
C) Regularization methods, such as Lasso and Ridge regression, penalize the coefficients to be close to zero, but not necessarily exactly zero. Therefore, the answer is c).",C
215,"When clustering with GPS coordinates, what is the reason we use Haversine distance instead of the commonly used Euclidean distance?

A. GPS coordinates have categorical information which can not be measured with Euclidean distance.
B. It is common for GPS coordinates to have missing values which makes it hard to use Euclidean distance.
C. Haversine distance can make use of temporal information while Euclidean distance can not.
D. GPS coordinates include longitudes and latitudes which give the coordinates on the surface of a sphere. ","The reason we use Haversine distance when measuring distance between two GPS coordiantes is because longitude and latitude give coordinate information of a point on the surface of sphere. Hence, we should use Haversine distance which measures distance between two points on the surface of sphere. If we use Euclidean distance which measures distance between points in the Euclidean space, the result can be very misleading. The statements from rest of the options are not true.",D
216,"Choose the statement which is incorrect regarding the dimension reduction technique.

A. Principal Component Analysis is one of the commonly used dimension reduction techniques.
B. Dimension reduction refers to method of projecting the p predictors to M-dimensional subspace, where M < p.
C. Dimension reduction techniques give enhanced interpretability of features. 
D. Autoencoder can perform non-linear dimension reduction.
","One of the drawbacks of dimension reduction techniques is that it is hard to interpret the features after dimension reduction since they are linear or even nonliear combinations of original features. Hence, the answer is C. The other statements are all correct.",C
217,"When handling categorical data, we should consider applying the right algorithm or strategies to properly process the data. Which of the following methods is the correct strategy? (Choose 1)

A. Fill in missing data with the interpolation method.
B. Directly apply a low pass filter so that we eliminate high-frequency jitters. 
C. Apply one-hot encoding so we can perform linear regression on the data.
D. Normalize the data using the MinMaxScaler function.
","The correct answer is C. By applying one-hot encoding, we essentially convert the categorical data into numerical data, which can then be processed similarly to typical numerical data (for instance, linear regression).

Explanation for the wrong options:
Option A is incorrect because interpolating categorical data is not possible. However, filling in missing data with forward or backward fill methods is still possible, albeit with careful consideration.
Option B is incorrect because filtering can only be applied to numerical data. However, if we map the labels to arbitrary numerical values on a one-to-one basis, performing LPF should be possible.
Option D is incorrect for a similar reason to Option B. However, proceeding with normalization after performing a one-to-one mapping is still problematic because, after scaling, the numerical data will not correspond to the initial mapping.
",C
218,"8. Which one is NOT correct as a way to solve overfitting?

a) Early stopping
b) Increasing network complexity
c) Feature selection and regularization
d) Expansion of training data
","Answer:b
Overfitting occurs when a model becomes too specific to the training data and fails to generalize well to new data. Different techniques are used to tackle this problem.
a) Early stopping: This method involves stopping the training process before the model overfits the training data too much, thus preventing overfitting effectively.
b) Increasing network complexity: Making the model more complex often worsens overfitting rather than alleviating it. Therefore, it's not an effective method for dealing with overfitting.
c) Feature selection and regularization: These techniques help reduce model complexity and prevent overfitting by focusing on important features and constraining weights.
d) Expansion of training data: Providing the model with more diverse examples can help improve its ability to generalize to new data and mitigate overfitting.
Hence, increasing network complexity (b) is not an effective method for dealing with overfitting.
",b
219,"Question: In the context of correlation-based feature selection (CFS) for model prediction, which type of feature is most desirable for effective model performance? (select one)

A) A feature with high correlation with other features but low correlation with the class label.

B) A feature with a low correlation with both other features and the class label.

C) A feature with a high correlation with both other features and the class label.

D) A feature with low correlation with other features but high correlation with the class label.","Explanation: Correlation-based Feature Selection (CFS) focuses on selecting feature subsets that are highly correlated with the class label while maintaining low inter-correlation among themselves. This approach aims to reduce redundancy and enhance the predictive power of the model. A feature that exhibits low correlation with other features avoids redundancy, and a feature that exhibits high correlation with the class label ensures its relevance and contribution to accurate model prediction. Therefore, option D is the correct choice.",D
220,"Question: Regarding the use of categorical features in data analysis tasks, which of the following statements is not accurate? (select one)

A) Nominal data cannot be readily used for machine learning.

B) To represent a nominal feature with k labels in numeric form, at least k one-hot vectors are required, with each vector indicating the presence of a class with a 1 and the absence with a 0.

C) Nominal features can be converted into numeric values through OneHotEncoding, where each category is represented by a unique dummy variable.

D) Numeric values can be readily used for machine learning.","- Option A acknowledges the need to convert nominal data for machine learning, typically achieved through OneHotEncoding. Option C elaborates on this conversion, where each nominal category is represented uniquely. Option D underscores the direct applicability of numeric values in machine learning.
- Option B is incorrect as it misstates the number of one-hot vectors needed. For a nominal feature with k labels, only k-1 vectors are necessary due to the k-1 degrees of freedom principle. For instance, with labels A, B, and C, two vectors are sufficient: [1, 0] for A, [0, 1] for B, and [0, 0] for C.",B
221,"What is the primary purpose of feature selection in machine learning models?
A) To increase the number of features for better model accuracy
B) To identify a subset of the most relevant features to improve model performance
C) To transform the features into a higher dimensional space
D) To ensure all features have equal variance",Feature selection reduces the complexity of the model by eliminating irrelevant or less significant features. This enhances the model's performance by focusing on features that have more predictive power.,B
222,"What does cross-validation help achieve?
A) It increases the speed of training the model
B) It ensures that every feature is used for training and testing
C) It helps in assessing how the model will generalize to an independent dataset
D) It creates more data points for training the model","cross-validation involves partitioning the data into subsets, training the model on some subsets (training set) and testing it on the remaining subsets (validation set), thereby providing a reliable estimate of the model's performance on unseen data.",C
223,"Which technique is NOT effective for reducing overfitting in machine learning models?

A) Early stopping
B) Increasing the complexity of classifiers
C) Utilizing a well-balanced and representative training dataset
D) Conducting rigorous feature selection to remove noisy and irrelevant features","Increasing the complexity of classifiers B) exacerbates overfitting by allowing models to memorize noise. Effective techniques for reducing overfitting include: A) Early stopping, which halts training before overfitting; C) Using a representative training dataset to prevent memorizing noise; and D) Conducting rigorous feature selection to focus on important features.





",B
224,"You are comparing stress scores across three time points from the same individuals. After running a Shapiro-Wilk test, you find that the p-value is 0.01. Which of the following is the most appropriate statistical test?
A. One-way ANOVA
B. Repeated Measures ANOVA
C. Friedman Test
D. Independent t-test
E. Wilcoxon signed-rank test","Shapiro-Wilk p-value < 0.05 indicates non-normal distribution. For non-parametric repeated measures, the Friedman Test is appropriate.",C
225,"After running a Friedman Test on weekly stress scores (Week 1–3), you obtain a p-value of 0.004. What can you conclude?
A. There are no significant differences in stress levels across the weeks
B. At least one week's score differs significantly from the others
C. The test confirms that Week 3 scores are the highest
D. The data is not normally distributed
E. The mean of Week 1 is significantly lower than Week 2",A significant p-value (0.004) in the Friedman Test indicates at least one group differs significantly in stress levels across weeks.,B
226,"Which of the following best describes the purpose of specifying a correlation structure (e.g., Exchangeable, AR(1)) in Generalized Estimating Equation (GEE) models?
A. To improve subject-level prediction accuracy
B. To account for the dependence of repeated observations within subjects
C. To reduce multicollinearity between predictors
D. To enforce normality assumptions on residuals",Correlation structures in GEE account for the within-subject correlation of repeated measures data.,B
227,"Which of the following best describes a key difference between Generalized Estimating Equation (GEE) and Generalized Linear Mixed Model (GLMM)?
A. GEE is suitable for binary outcomes, while GLMM is only for continuous outcomes
B. GEE requires normally distributed outcomes; GLMM does not
C. GLMM explicitly models between-subject variability using random effects; GEE does not
D. GLMM cannot model correlated observations","GLMM models subject-level variability using random effects, whereas GEE provides population-averaged estimates without modeling subject-level random effects.",C
